id,adoption_evolution_0,adoption_evolution_1,adoption_evolution_2,adoption_evolution_3,adoption_evolution_4,adoption_evolution_5,adoption_evolution_6,adoption_evolution_7,adoption_evolution_8,adoption_evolution_9,adoption_evolution_10,adoption_evolution_11,adoption_evolution_12,adoption_evolution_13,adoption_evolution_14,adoption_evolution_15,adoption_evolution_16,adoption_evolution_17,adoption_evolution_18,adoption_evolution_19
24,0.0,0.0,0.09,0.11000000000000001,0.01999999999999999,0.0,0.010000000000000009,0.0,0.0,0.0,0.009999999999999981,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0
25,0.0,0.0,0.03,0.06,0.03,0.04000000000000001,0.010000000000000009,0.03,0.009999999999999981,0.010000000000000009,0.0,0.010000000000000009,0.0,0.009999999999999981,0.0,0.020000000000000018,0.0,0.0,0.020000000000000018,0.0
26,0.0,0.01,0.1,0.05,0.010000000000000009,0.03,0.03999999999999998,0.010000000000000009,0.020000000000000018,0.019999999999999962,0.020000000000000018,0.0,0.0,0.010000000000000009,0.0,0.020000000000000018,0.009999999999999953,0.030000000000000027,0.010000000000000009,0.010000000000000009
27,0.0,0.0,0.04,0.049999999999999996,0.03,0.020000000000000018,0.009999999999999981,0.010000000000000009,0.010000000000000009,0.0,0.009999999999999981,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.01999999999999999,0.0,0.0,0.0
28,0.0,0.0,0.02,0.08,0.13,0.04000000000000001,0.03999999999999998,0.03999999999999998,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0
29,0.0,0.01,0.049999999999999996,0.06,0.06,0.03,0.03,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0
30,0.0,0.01,0.060000000000000005,0.009999999999999995,0.0,0.0,0.020000000000000004,0.01999999999999999,0.0,0.0,0.010000000000000009,0.0,0.010000000000000009,0.0,0.009999999999999981,0.0,0.0,0.020000000000000018,0.0,0.0
31,0.0,0.0,0.02,0.09,0.08,0.01999999999999999,0.03,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.03999999999999998,0.010000000000000009,0.0,0.0,0.010000000000000009,0.009999999999999953,0.020000000000000018,0.0,0.010000000000000009,0.010000000000000009
32,0.0,0.01,0.1,0.12000000000000001,0.03,0.010000000000000009,0.0,0.02999999999999997,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.010000000000000009,0.0
33,0.0,0.01,0.01,0.039999999999999994,0.03,0.020000000000000004,0.030000000000000013,0.009999999999999981,0.010000000000000009,0.01999999999999999,0.010000000000000009,0.010000000000000009,0.0,0.009999999999999981,0.0,0.0,0.0,0.0,0.010000000000000009,0.0
34,0.0,0.01,0.019999999999999997,0.04000000000000001,0.04999999999999999,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.009999999999999981,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.010000000000000009
35,0.0,0.0,0.03,0.06,0.010000000000000009,0.009999999999999995,0.030000000000000013,0.0,0.009999999999999981,0.010000000000000009,0.0,0.01999999999999999,0.010000000000000009,0.0,0.0,0.04000000000000001,0.009999999999999981,0.0,0.020000000000000018,0.0
36,0.0,0.04,0.09,0.06,0.08000000000000002,0.07,0.019999999999999962,0.06,0.030000000000000027,0.010000000000000009,0.019999999999999962,0.010000000000000009,0.0,0.010000000000000009,0.020000000000000018,0.0,0.0,0.0,0.040000000000000036,0.009999999999999898
37,0.0,0.01,0.060000000000000005,0.09,0.01999999999999999,0.010000000000000009,0.01999999999999999,0.03,0.0,0.0,0.010000000000000009,0.0,0.020000000000000018,0.019999999999999962,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0
38,0.0,0.02,0.030000000000000002,0.05,0.06,0.010000000000000009,0.01999999999999999,0.0,0.0,0.010000000000000009,0.0,0.009999999999999981,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.0,0.0
39,0.0,0.02,0.06,0.06000000000000001,0.04999999999999999,0.0,0.03,0.03,0.030000000000000027,0.009999999999999953,0.0,0.0,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.0,0.0,0.019999999999999962,0.0,0.0
40,0.0,0.03,0.14,0.16,0.019999999999999962,0.030000000000000027,0.06,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.009999999999999953,0.0,0.0,0.0,0.0,0.010000000000000009,0.0
41,0.0,0.02,0.05,0.03,0.03,0.010000000000000009,0.01999999999999999,0.010000000000000009,0.01999999999999999,0.010000000000000009,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.01999999999999999,0.010000000000000009,0.010000000000000009,0.0
42,0.0,0.01,0.09000000000000001,0.13999999999999999,0.06,0.04999999999999999,0.07,0.020000000000000018,0.03999999999999998,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000009,0.030000000000000027,0.010000000000000009,0.009999999999999898,0.0,0.020000000000000018,0.020000000000000018,0.0
